pipeline_type,pipeline_name,config,run_id,auc,accuracy,final_train_loss,best_val_loss,epochs_trained,noise_type,noise_level
P2d,p2d_density_matrix_bit_flip_0.01,bit_flip_0.01,5,0.9356600189933523,86.53846153846155,0.3517936991155148,0.2558184751542285,10,bit_flip,0.01
P2d,p2d_density_matrix_bit_flip_0.01,bit_flip_0.01,6,0.9396778435239973,87.17948717948718,0.4011671863645315,0.26676585031536354,11,bit_flip,0.01
P2d,p2d_density_matrix_bit_flip_0.01,bit_flip_0.01,7,0.9472934472934473,87.6068376068376,0.3497750217281282,0.2505898435654886,16,bit_flip,0.01
P2d,p2d_density_matrix_bit_flip_0.01,bit_flip_0.01,8,0.9436774052158667,85.47008547008546,0.31274137053638695,0.2396716454395038,25,bit_flip,0.01
P2d,p2d_density_matrix_bit_flip_0.01,bit_flip_0.01,9,0.9263459712177661,85.68376068376068,0.36614123422652484,0.2368302576634211,20,bit_flip,0.01
P2d,p2d_density_matrix_bit_flip_0.03,bit_flip_0.03,1,0.9401161516546132,85.04273504273505,0.3701961898654699,0.24736164408900282,13,bit_flip,0.03
P2d,p2d_density_matrix_bit_flip_0.03,bit_flip_0.03,10,0.9426729490832054,85.04273504273505,0.37328657690435646,0.2342651716008892,20,bit_flip,0.03
P2d,p2d_density_matrix_bit_flip_0.03,bit_flip_0.03,2,0.9217437358462999,83.54700854700855,0.4050537300854921,0.27899611434515786,9,bit_flip,0.03
P2d,p2d_density_matrix_bit_flip_0.03,bit_flip_0.03,3,0.9381620279056176,82.47863247863248,0.37604766349494456,0.23725728168809676,12,bit_flip,0.03
P2d,p2d_density_matrix_bit_flip_0.03,bit_flip_0.03,4,0.9390569070056249,84.4017094017094,0.3789870649650693,0.2770422671181971,8,bit_flip,0.03
P2d,p2d_density_matrix_bit_flip_0.03,bit_flip_0.03,5,0.9357513331872306,82.05128205128204,0.36502202739566564,0.2427439966567737,19,bit_flip,0.03
P2d,p2d_density_matrix_bit_flip_0.03,bit_flip_0.03,6,0.9373949886770401,86.75213675213675,0.38794081296771765,0.2669668021502302,13,bit_flip,0.03
P2d,p2d_density_matrix_bit_flip_0.03,bit_flip_0.03,7,0.9141281320768501,77.99145299145299,0.48185456117987635,0.3190983565085951,6,bit_flip,0.03
P2d,p2d_density_matrix_bit_flip_0.03,bit_flip_0.03,8,0.9480970121995763,87.82051282051282,0.34880127318948506,0.24778841105837593,15,bit_flip,0.03
P2d,p2d_density_matrix_bit_flip_0.03,bit_flip_0.03,9,0.9430929943750457,86.11111111111111,0.4051822330579162,0.2470665921950165,14,bit_flip,0.03
P2d,p2d_density_matrix_bit_flip_0.05,bit_flip_0.05,1,0.9402074658484915,85.68376068376068,0.4103084908351302,0.2518176894141909,12,bit_flip,0.05
P2d,p2d_density_matrix_bit_flip_0.05,bit_flip_0.05,10,0.9392760610709328,87.6068376068376,0.37372744324058293,0.25033261325306205,19,bit_flip,0.05
P2d,p2d_density_matrix_bit_flip_0.05,bit_flip_0.05,2,0.9051428153992257,77.35042735042735,0.387377389408648,0.2556792848592843,15,bit_flip,0.05
P2d,p2d_density_matrix_bit_flip_0.05,bit_flip_0.05,3,0.9436408795383154,88.24786324786325,0.362395079575479,0.25471403494627926,17,bit_flip,0.05
P2d,p2d_density_matrix_bit_flip_0.05,bit_flip_0.05,4,0.931331726203521,86.32478632478633,0.4000020463168621,0.25466794787686975,12,bit_flip,0.05
P2d,p2d_density_matrix_bit_flip_0.05,bit_flip_0.05,5,0.9268025421871576,82.6923076923077,0.42358346077799797,0.2819469657534843,8,bit_flip,0.05
P2d,p2d_density_matrix_bit_flip_0.05,bit_flip_0.05,6,0.949612827817956,81.83760683760684,0.39217790196835994,0.26053865070399995,16,bit_flip,0.05
P2d,p2d_density_matrix_bit_flip_0.05,bit_flip_0.05,7,0.9286653517422748,84.61538461538461,0.3700940977036953,0.2607879619771505,13,bit_flip,0.05
P2d,p2d_density_matrix_bit_flip_0.05,bit_flip_0.05,8,0.9499232960771422,87.6068376068376,0.3994554111137986,0.24204967477742365,25,bit_flip,0.05
P2d,p2d_density_matrix_bit_flip_0.05,bit_flip_0.05,9,0.9330484330484331,83.33333333333334,0.3615388529226184,0.22965144492884385,25,bit_flip,0.05
P2d,p2d_density_matrix_bit_flip_0.1,bit_flip_0.1,1,0.9417780699831982,85.04273504273505,0.39509882307052613,0.22509125605061212,17,bit_flip,0.1
P2d,p2d_density_matrix_bit_flip_0.1,bit_flip_0.1,10,0.9354773906055958,85.25641025641025,0.3731350146085024,0.2517486961613245,25,bit_flip,0.1
P2d,p2d_density_matrix_bit_flip_0.1,bit_flip_0.1,2,0.9434582511505588,86.11111111111111,0.3530453619621694,0.24261667086359331,20,bit_flip,0.1
P2d,p2d_density_matrix_bit_flip_0.1,bit_flip_0.1,3,0.9478778581342684,86.11111111111111,0.4306699550747871,0.270421649384148,19,bit_flip,0.1
P2d,p2d_density_matrix_bit_flip_0.1,bit_flip_0.1,4,0.9375228285484696,87.17948717948718,0.3857616734877229,0.2560710366678369,25,bit_flip,0.1
P2d,p2d_density_matrix_bit_flip_0.1,bit_flip_0.1,5,0.9361165899627438,86.53846153846155,0.3865697213709354,0.28182866911896887,13,bit_flip,0.1
P2d,p2d_density_matrix_bit_flip_0.1,bit_flip_0.1,6,0.9342537804076266,85.47008547008546,0.38824356976896524,0.2622785545228159,20,bit_flip,0.1
P2d,p2d_density_matrix_bit_flip_0.1,bit_flip_0.1,7,0.9188034188034186,82.90598290598291,0.40725314256548883,0.28792840865550234,25,bit_flip,0.1
P2d,p2d_density_matrix_bit_flip_0.1,bit_flip_0.1,8,0.9440061363138287,85.47008547008546,0.3771063896715641,0.24493283367551424,18,bit_flip,0.1
P2d,p2d_density_matrix_bit_flip_0.1,bit_flip_0.1,9,0.9106764555482504,82.90598290598291,0.44294754004478454,0.28656101276111956,15,bit_flip,0.1
P2d,p2d_density_matrix_bit_flip_0.2,bit_flip_0.2,1,0.5,50.0,0.6933605253696442,0.6931814621476566,12,bit_flip,0.2
P2d,p2d_density_matrix_bit_flip_0.2,bit_flip_0.2,2,0.9246657900504055,83.76068376068376,0.4119401366263628,0.2886934165349778,12,bit_flip,0.2
P2d,p2d_density_matrix_depol_0.01,depol_0.01,1,0.9389655928117466,86.96581196581197,0.4048020491600037,0.2516134987612638,13,depol,0.01
P2d,p2d_density_matrix_depol_0.01,depol_0.01,10,0.9409745050770693,81.62393162393163,0.35047279753535987,0.24353692457781803,18,depol,0.01
P2d,p2d_density_matrix_depol_0.01,depol_0.01,2,0.9491745196873402,90.38461538461539,0.401206057369709,0.23211032924283406,15,depol,0.01
P2d,p2d_density_matrix_depol_0.01,depol_0.01,3,0.9467090364526262,86.96581196581197,0.3917562159076333,0.24147777667145848,10,depol,0.01
P2d,p2d_density_matrix_depol_0.01,depol_0.01,4,0.9326649134341441,69.23076923076923,0.35955177681148054,0.24347078645266318,12,depol,0.01
P2d,p2d_density_matrix_depol_0.01,depol_0.01,5,0.9496493534955074,84.1880341880342,0.4131561699807644,0.26675631640725495,12,depol,0.01
P2d,p2d_density_matrix_depol_0.01,depol_0.01,6,0.943019943019943,87.3931623931624,0.3383035726696253,0.22391731233801693,17,depol,0.01
P2d,p2d_density_matrix_depol_0.01,depol_0.01,7,0.9397143692015486,86.75213675213675,0.38487101609259844,0.20536922118352616,21,depol,0.01
P2d,p2d_density_matrix_depol_0.01,depol_0.01,8,0.9400613631382861,87.17948717948718,0.35350821329653265,0.2244173753356068,25,depol,0.01
P2d,p2d_density_matrix_depol_0.01,depol_0.01,9,0.9399152604280809,86.75213675213675,0.393251937687397,0.23552395085297415,13,depol,0.01
P2d,p2d_density_matrix_depol_0.03,depol_0.03,1,0.9410658192709475,87.82051282051282,0.34533462234586476,0.25298700419679176,19,depol,0.03
P2d,p2d_density_matrix_depol_0.03,depol_0.03,10,0.9504163927240851,86.96581196581197,0.4211353459358215,0.2654583870214136,9,depol,0.03
P2d,p2d_density_matrix_depol_0.03,depol_0.03,2,0.9396413178464461,86.11111111111111,0.41123494210839273,0.28367471735349253,9,depol,0.03
P2d,p2d_density_matrix_depol_0.03,depol_0.03,3,0.9303637957484111,84.61538461538461,0.3951204686164856,0.2753655180499396,10,depol,0.03
P2d,p2d_density_matrix_depol_0.03,depol_0.03,4,0.9428373146321865,84.4017094017094,0.3881876269429922,0.2478635654414949,24,depol,0.03
P2d,p2d_density_matrix_depol_0.03,depol_0.03,5,0.9419972240485062,87.82051282051282,0.39911155484616756,0.2668637155336054,8,depol,0.03
P2d,p2d_density_matrix_depol_0.03,depol_0.03,6,0.9437504565709693,82.6923076923077,0.39771633541584017,0.2760268713155871,9,depol,0.03
P2d,p2d_density_matrix_depol_0.03,depol_0.03,7,0.9211227993279274,84.1880341880342,0.44635986772179603,0.25281286273179027,21,depol,0.03
P2d,p2d_density_matrix_depol_0.03,depol_0.03,8,0.9370114690627511,86.32478632478633,0.38955421167612075,0.2645649889155346,9,depol,0.03
P2d,p2d_density_matrix_depol_0.03,depol_0.03,9,0.9200818175177149,73.71794871794873,0.3903255702406168,0.26706917726379986,13,depol,0.03
P2d,p2d_density_matrix_depol_0.05,depol_0.05,1,0.9246657900504054,83.76068376068376,0.4605496658086777,0.31622817052309127,7,depol,0.05
P2d,p2d_density_matrix_depol_0.05,depol_0.05,10,0.9410475564321719,85.25641025641025,0.42329257012158633,0.2573245274971294,11,depol,0.05
P2d,p2d_density_matrix_depol_0.05,depol_0.05,2,0.9370297319015268,86.11111111111111,0.3744727696180344,0.2346023212406127,22,depol,0.05
P2d,p2d_density_matrix_depol_0.05,depol_0.05,3,0.9425633720505515,85.8974358974359,0.41101716058701276,0.2600134588120615,18,depol,0.05
P2d,p2d_density_matrix_depol_0.05,depol_0.05,4,0.9167579808605449,83.76068376068376,0.483081057369709,0.31505516741205664,11,depol,0.05
P2d,p2d_density_matrix_depol_0.05,depol_0.05,5,0.9466542479362993,88.67521367521367,0.40556906402111054,0.24779094810433247,21,depol,0.05
P2d,p2d_density_matrix_depol_0.05,depol_0.05,6,0.9275330557381839,81.62393162393163,0.4016783523634076,0.23583028681904955,15,depol,0.05
P2d,p2d_density_matrix_depol_0.05,depol_0.05,7,0.9312952005259697,85.8974358974359,0.38368738202005626,0.24991639915798955,15,depol,0.05
P2d,p2d_density_matrix_depol_0.05,depol_0.05,8,0.9277704726422675,84.82905982905983,0.3894966156855226,0.2660942678956096,22,depol,0.05
P2d,p2d_density_matrix_depol_0.05,depol_0.05,9,0.9377602454525532,85.8974358974359,0.3458300800472498,0.2484518277376671,24,depol,0.05
P2d,p2d_density_matrix_depol_0.1,depol_0.1,1,0.932244868142304,85.04273504273505,0.3907324419170618,0.27783383957712965,13,depol,0.1
P2d,p2d_density_matrix_depol_0.1,depol_0.1,10,0.9351303966688581,84.61538461538461,0.41870389035344124,0.2800008473260438,14,depol,0.1
P2d,p2d_density_matrix_depol_0.1,depol_0.1,2,0.9452845350281248,86.96581196581197,0.38209591001272203,0.2693197417333174,21,depol,0.1
P2d,p2d_density_matrix_depol_0.1,depol_0.1,3,0.9418145956607494,85.8974358974359,0.4378198527991772,0.2665042638751295,21,depol,0.1
P2d,p2d_density_matrix_depol_0.1,depol_0.1,4,0.9368471035137702,85.25641025641025,0.3733011953830719,0.2530301358543939,25,depol,0.1
P2d,p2d_density_matrix_depol_0.1,depol_0.1,5,0.9018828986777705,80.98290598290599,0.48614053696393966,0.266928136239157,11,depol,0.1
P2d,p2d_density_matrix_depol_0.1,depol_0.1,6,0.9359887500913142,82.05128205128204,0.40905112428218127,0.2607602058697547,22,depol,0.1
P2d,p2d_density_matrix_depol_0.1,depol_0.1,7,0.9454671634158813,87.17948717948718,0.388104967430234,0.2475967581164749,25,depol,0.1
P2d,p2d_density_matrix_depol_0.1,depol_0.1,8,0.94404266199138,86.96581196581197,0.38525325748324396,0.24651793376816547,23,depol,0.1
P2d,p2d_density_matrix_depol_0.1,depol_0.1,9,0.9303455329096355,86.96581196581197,0.45856078624725344,0.3036720940076253,9,depol,0.1
P2d,p2d_density_matrix_depol_0.2,depol_0.2,1,0.8687084520417854,67.09401709401709,0.6658089485168457,0.6431849186911303,6,depol,0.2
P2d,p2d_density_matrix_depol_0.2,depol_0.2,2,0.9100007305135509,83.11965811965813,0.4637095194756985,0.36545508387772474,25,depol,0.2
P3,p3_amp_damp_0.01,amp_damp_0.01,1,0.6799072247790195,61.32478632478633,0.6763465627431869,0.654573900734677,15,amp_damp,0.01
P3,p3_amp_damp_0.01,amp_damp_0.01,10,0.7340382789100737,57.05128205128205,0.6749772229194642,0.6585620720596874,16,amp_damp,0.01
P3,p3_amp_damp_0.01,amp_damp_0.01,2,0.6993023595587698,65.38461538461539,0.6703325521945953,0.6539743779336705,13,amp_damp,0.01
P3,p3_amp_damp_0.01,amp_damp_0.01,3,0.6073307034845496,58.76068376068376,0.6742223155498505,0.661672912976321,8,amp_damp,0.01
P3,p3_amp_damp_0.01,amp_damp_0.01,4,0.6150558842866536,56.41025641025641,0.6648700392246246,0.6653689409003538,6,amp_damp,0.01
P3,p3_amp_damp_0.01,amp_damp_0.01,5,0.5005387537438819,50.427350427350426,0.6651971975564956,0.6713352133246029,10,amp_damp,0.01
P3,p3_amp_damp_0.01,amp_damp_0.01,6,0.7398641244795092,62.60683760683761,0.67308429479599,0.6589415748329723,9,amp_damp,0.01
P3,p3_amp_damp_0.01,amp_damp_0.01,7,0.6243151435459128,57.47863247863248,0.6699016094207764,0.6604771456297707,7,amp_damp,0.01
P3,p3_amp_damp_0.01,amp_damp_0.01,8,0.6711775878442545,61.965811965811966,0.6669158563613892,0.6628688380998724,9,amp_damp,0.01
P3,p3_amp_damp_0.01,amp_damp_0.01,9,0.717674775367083,64.95726495726495,0.6713383896350861,0.6545106873792761,11,amp_damp,0.01
P3,p3_amp_damp_0.03,amp_damp_0.03,1,0.71440572722624,58.76068376068376,0.6736406490802765,0.6545655359240139,24,amp_damp,0.03
P3,p3_amp_damp_0.03,amp_damp_0.03,10,0.6521111841624663,50.0,0.6717482385635376,0.6599783318884233,9,amp_damp,0.03
P3,p3_amp_damp_0.03,amp_damp_0.03,2,0.7934655562860692,69.23076923076923,0.6714825387001038,0.6650563583654516,9,amp_damp,0.03
P3,p3_amp_damp_0.03,amp_damp_0.03,3,0.7419278252611586,55.55555555555556,0.6804064047336579,0.6657113310168771,10,amp_damp,0.03
P3,p3_amp_damp_0.03,amp_damp_0.03,4,0.492548761779531,49.572649572649574,0.6782684926986694,0.6697387555066276,10,amp_damp,0.03
P3,p3_amp_damp_0.03,amp_damp_0.03,5,0.6709401709401709,61.111111111111114,0.6691773226261138,0.6625851769657696,13,amp_damp,0.03
P3,p3_amp_damp_0.03,amp_damp_0.03,6,0.73338081671415,55.34188034188035,0.6714092726707459,0.6670986019513186,7,amp_damp,0.03
P3,p3_amp_damp_0.03,amp_damp_0.03,7,0.7444663598509753,58.54700854700855,0.6672122640609741,0.6675264318199718,14,amp_damp,0.03
P3,p3_amp_damp_0.03,amp_damp_0.03,8,0.7009825407261304,57.47863247863248,0.6819285364151001,0.6659180732334361,8,amp_damp,0.03
P3,p3_amp_damp_0.03,amp_damp_0.03,9,0.7560815253122947,62.82051282051282,0.6738713436126709,0.6653894992435679,10,amp_damp,0.03
P3,p3_amp_damp_0.05,amp_damp_0.05,1,0.600336036233472,50.85470085470085,0.6747190396785736,0.6689712001996881,9,amp_damp,0.05
P3,p3_amp_damp_0.05,amp_damp_0.05,10,0.7265687778508291,55.12820512820513,0.6785133831501007,0.6648890709175783,8,amp_damp,0.05
P3,p3_amp_damp_0.05,amp_damp_0.05,2,0.7247333625538754,65.8119658119658,0.6824115226268769,0.6775490098139819,9,amp_damp,0.05
P3,p3_amp_damp_0.05,amp_damp_0.05,3,0.6958506830301703,50.0,0.6726006667613983,0.6772782776285621,7,amp_damp,0.05
P3,p3_amp_damp_0.05,amp_damp_0.05,4,0.6464862298195632,50.0,0.6751342414617538,0.6692124254563275,11,amp_damp,0.05
P3,p3_amp_damp_0.05,amp_damp_0.05,5,0.7518993352326685,50.427350427350426,0.6759683480262756,0.6746253967285156,8,amp_damp,0.05
P3,p3_amp_damp_0.05,amp_damp_0.05,6,0.7717875666593615,67.73504273504274,0.6748180708885193,0.6628581013749627,11,amp_damp,0.05
P3,p3_amp_damp_0.05,amp_damp_0.05,7,0.6840346263423187,50.0,0.6763613638877869,0.6611681782147464,11,amp_damp,0.05
P3,p3_amp_damp_0.05,amp_damp_0.05,8,0.7066988092629118,55.12820512820513,0.6863070524930954,0.6736828456906712,6,amp_damp,0.05
P3,p3_amp_damp_0.05,amp_damp_0.05,9,0.6881437650668419,50.85470085470085,0.6816191270351409,0.6789611954899395,7,amp_damp,0.05
P3,p3_amp_damp_0.1,amp_damp_0.1,1,0.5820275403608737,50.0,0.6881805098056794,0.6848838969188578,7,amp_damp,0.1
P3,p3_amp_damp_0.1,amp_damp_0.1,10,0.6573891445686317,50.641025641025635,0.691392198562622,0.6811018568627975,14,amp_damp,0.1
P3,p3_amp_damp_0.1,amp_damp_0.1,2,0.6689769157717876,50.0,0.6959283089637757,0.6824031726402395,9,amp_damp,0.1
