pipeline_type,pipeline_name,config,run_id,auc,accuracy,final_train_loss,best_val_loss,epochs_trained,noise_type,noise_level
P2d,p2d_density_matrix_bit_flip_0.05,bit_flip_0.05,2,0.8070764462809917,72.72727272727273,0.5914396938223105,0.49428227085333604,9,bit_flip,0.05
P2d,p2d_density_matrix_bit_flip_0.05,bit_flip_0.05,3,0.8600206611570248,74.43181818181817,0.5526210671434035,0.5009879928368789,14,bit_flip,0.05
P2d,p2d_density_matrix_bit_flip_0.05,bit_flip_0.05,4,0.815599173553719,52.84090909090909,0.5743375559265796,0.4717925924521226,25,bit_flip,0.05
P2d,p2d_density_matrix_bit_flip_0.05,bit_flip_0.05,5,0.8498192148760331,81.25,0.5374159791148626,0.47526928094717175,15,bit_flip,0.05
P2d,p2d_density_matrix_bit_flip_0.05,bit_flip_0.05,6,0.8477530991735537,81.81818181818183,0.5963049886318353,0.5060532482770773,7,bit_flip,0.05
P2d,p2d_density_matrix_bit_flip_0.05,bit_flip_0.05,7,0.8383264462809917,77.27272727272727,0.6375048121580711,0.5104013314613929,10,bit_flip,0.05
P2d,p2d_density_matrix_bit_flip_0.05,bit_flip_0.05,8,0.8482696280991736,79.54545454545455,0.5871190950274467,0.4826955268016228,13,bit_flip,0.05
P2d,p2d_density_matrix_bit_flip_0.05,bit_flip_0.05,9,0.8616993801652894,78.97727272727273,0.5493255441578535,0.4817007550826439,15,bit_flip,0.05
P2d,p2d_density_matrix_bit_flip_0.1,bit_flip_0.1,1,0.8380681818181818,76.70454545454545,0.5742940004055317,0.49901577486441684,15,bit_flip,0.1
P2d,p2d_density_matrix_bit_flip_0.1,bit_flip_0.1,10,0.8743543388429752,80.11363636363636,0.5683115941973833,0.47348371606606704,15,bit_flip,0.1
P2d,p2d_density_matrix_bit_flip_0.1,bit_flip_0.1,2,0.881327479338843,78.97727272727273,0.5765430961663907,0.4962354417030628,13,bit_flip,0.1
P2d,p2d_density_matrix_bit_flip_0.1,bit_flip_0.1,3,0.5,50.0,0.6935436290044051,0.5932217767605414,7,bit_flip,0.1
